Channel              :		CH1
Frequency            :		1.000KHz
Period               :		1.000ms
PK-PK                :		10.13V
Average              :		-352.4mV
Vertical pos         :		0.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		5.000000mV
Time interval        :		0.40000uS

index		CH1_Voltage(mV)
1		-1065.000000
2		-1065.000000
3		-1115.000000
4		-1190.000000
5		-1260.000000
6		-1335.000000
7		-1400.000000
8		-1460.000000
9		-1540.000000
10		-1580.000000
11		-1655.000000
12		-1700.000000
13		-1755.000000
14		-1805.000000
15		-1845.000000
16		-1895.000000
17		-1950.000000
18		-1995.000000
19		-2030.000000
20		-2095.000000
21		-2120.000000
22		-2150.000000
23		-2175.000000
24		-2225.000000
25		-2255.000000
26		-2280.000000
27		-2290.000000
28		-2320.000000
29		-2335.000000
30		-2375.000000
31		-2385.000000
32		-2395.000000
33		-2400.000000
34		-2415.000000
35		-2430.000000
36		-2430.000000
37		-2450.000000
38		-2415.000000
39		-2460.000000
40		-2460.000000
41		-2465.000000
42		-2450.000000
43		-2430.000000
44		-2440.000000
45		-2435.000000
46		-2415.000000
47		-2400.000000
48		-2395.000000
49		-2385.000000
50		-2360.000000
51		-2345.000000
52		-2315.000000
53		-2295.000000
54		-2295.000000
55		-2260.000000
56		-2235.000000
57		-2220.000000
58		-2200.000000
59		-2150.000000
60		-2120.000000
61		-2100.000000
62		-2075.000000
63		-2030.000000
64		-2000.000000
65		-1970.000000
66		-1940.000000
67		-1905.000000
68		-1860.000000
69		-1815.000000
70		-1785.000000
71		-1755.000000
72		-1705.000000
73		-1640.000000
74		-1615.000000
75		-1580.000000
76		-1540.000000
77		-1485.000000
78		-1435.000000
79		-1405.000000
80		-1355.000000
81		-1320.000000
82		-1280.000000
83		-1235.000000
84		-1195.000000
85		-1155.000000
86		-1090.000000
87		-1050.000000
88		-1005.000000
89		-975.000000
90		-925.000000
91		-880.000000
92		-830.000000
93		-810.000000
94		-750.000000
95		-695.000000
96		-670.000000
97		-640.000000
98		-600.000000
99		-540.000000
100		-500.000000
101		-475.000000
102		-420.000000
103		-385.000000
104		-345.000000
105		-320.000000
106		-270.000000
107		-235.000000
108		-205.000000
109		-145.000000
110		-135.000000
111		-100.000000
112		-80.000000
113		-50.000000
114		-5.000000
115		10.000000
116		45.000000
117		75.000000
118		105.000000
119		140.000000
120		155.000000
121		165.000000
122		195.000000
123		215.000000
124		250.000000
125		270.000000
126		285.000000
127		280.000000
128		300.000000
129		310.000000
130		325.000000
131		345.000000
132		345.000000
133		375.000000
134		390.000000
135		375.000000
136		395.000000
137		405.000000
138		410.000000
139		415.000000
140		405.000000
141		415.000000
142		420.000000
143		405.000000
144		390.000000
145		405.000000
146		395.000000
147		390.000000
148		380.000000
149		385.000000
150		385.000000
151		370.000000
152		365.000000
153		355.000000
154		340.000000
155		325.000000
156		315.000000
157		285.000000
158		285.000000
159		260.000000
160		245.000000
161		240.000000
162		190.000000
163		215.000000
164		175.000000
165		145.000000
166		130.000000
167		115.000000
168		75.000000
169		65.000000
170		35.000000
171		30.000000
172		5.000000
173		-30.000000
174		-40.000000
175		-75.000000
176		-100.000000
177		-115.000000
178		-145.000000
179		-170.000000
180		-205.000000
181		-220.000000
182		-260.000000
183		-280.000000
184		-325.000000
185		-345.000000
186		-365.000000
187		-400.000000
188		-425.000000
189		-445.000000
190		-485.000000
191		-505.000000
192		-545.000000
193		-595.000000
194		-590.000000
195		-620.000000
196		-650.000000
197		-670.000000
198		-715.000000
199		-755.000000
200		-750.000000
201		-795.000000
202		-830.000000
203		-830.000000
204		-875.000000
205		-895.000000
206		-935.000000
207		-940.000000
208		-950.000000
209		-985.000000
210		-1020.000000
211		-1040.000000
212		-1065.000000
213		-1085.000000
214		-1100.000000
215		-1110.000000
216		-1145.000000
217		-1150.000000
218		-1175.000000
219		-1185.000000
220		-1205.000000
221		-1235.000000
222		-1245.000000
223		-1250.000000
224		-1270.000000
225		-1305.000000
226		-1290.000000
227		-1325.000000
228		-1340.000000
229		-1325.000000
230		-1335.000000
231		-1345.000000
232		-1370.000000
233		-1365.000000
234		-1375.000000
235		-1405.000000
236		-1385.000000
237		-1395.000000
238		-1395.000000
239		-1415.000000
240		-1415.000000
241		-1405.000000
242		-1410.000000
243		-1405.000000
244		-1415.000000
245		-1410.000000
246		-1410.000000
247		-1395.000000
248		-1405.000000
249		-1380.000000
250		-1375.000000
251		-1380.000000
252		-1355.000000
253		-1375.000000
254		-1355.000000
255		-1365.000000
256		-1330.000000
257		-1330.000000
258		-1320.000000
259		-1310.000000
260		-1300.000000
261		-1280.000000
262		-1280.000000
263		-1255.000000
264		-1240.000000
265		-1235.000000
266		-1210.000000
267		-1205.000000
268		-1180.000000
269		-1190.000000
270		-1155.000000
