Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,2.692V
Average              :,19.02mV
Vertical pos         :,0.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,1.250000mV
Time interval        :,100.00000uS

index,CH1_Voltage(mV)
1,103.750000
2,103.750000
3,108.750000
4,88.750000
5,98.750000
6,105.000000
7,93.750000
8,97.500000
9,95.000000
10,88.750000
11,86.250000
12,90.000000
13,85.000000
14,85.000000
15,72.500000
16,72.500000
17,75.000000
18,67.500000
19,73.750000
20,73.750000
21,73.750000
22,68.750000
23,57.500000
24,50.000000
25,60.000000
26,52.500000
27,67.500000
28,61.250000
29,47.500000
30,61.250000
31,58.750000
32,50.000000
33,47.500000
34,52.500000
35,36.250000
36,42.500000
37,41.250000
38,33.750000
39,36.250000
40,38.750000
41,35.000000
42,23.750000
43,27.500000
44,17.500000
45,25.000000
46,21.250000
47,22.500000
48,10.000000
49,10.000000
50,12.500000
51,-2.500000
52,-3.750000
53,-1.250000
54,1.250000
55,-6.250000
56,-2.500000
57,-7.500000
58,-10.000000
59,-25.000000
60,-10.000000
61,-11.250000
62,-16.250000
63,-12.500000
64,-26.250000
65,-22.500000
66,-18.750000
67,-26.250000
68,-22.500000
69,-30.000000
70,-31.250000
71,-26.250000
72,-47.500000
73,-30.000000
74,-41.250000
75,-51.250000
76,-50.000000
77,-51.250000
78,-56.250000
79,-56.250000
80,-66.250000
81,-77.500000
82,-67.500000
83,-80.000000
84,-78.750000
85,-76.250000
86,-77.500000
87,-73.750000
88,-77.500000
89,-80.000000
90,-78.750000
91,-83.750000
92,-87.500000
93,-87.500000
94,-96.250000
95,-85.000000
96,-88.750000
97,-82.500000
98,-77.500000
99,-73.750000
100,-71.250000
101,-73.750000
102,-75.000000
103,-71.250000
104,-67.500000
105,-68.750000
106,-75.000000
107,-67.500000
108,-66.250000
109,-62.500000
110,-62.500000
111,-57.500000
112,-51.250000
113,-53.750000
114,-52.500000
115,-60.000000
116,-48.750000
117,-43.750000
118,-48.750000
119,-51.250000
120,-38.750000
121,-36.250000
122,-37.500000
123,-31.250000
124,-27.500000
125,-28.750000
126,-26.250000
127,-18.750000
128,-21.250000
129,-13.750000
130,-2.500000
131,-1.250000
132,-3.750000
133,1.250000
134,8.750000
135,10.000000
136,5.000000
137,15.000000
138,12.500000
139,17.500000
140,16.250000
141,16.250000
142,21.250000
143,33.750000
144,28.750000
145,32.500000
146,28.750000
147,31.250000
148,32.500000
149,41.250000
150,48.750000
151,46.250000
152,46.250000
153,46.250000
154,47.500000
155,52.500000
156,55.000000
157,61.250000
158,61.250000
159,53.750000
160,63.750000
161,66.250000
162,68.750000
163,68.750000
164,71.250000
165,78.750000
166,80.000000
167,77.500000
168,80.000000
169,81.250000
170,81.250000
171,85.000000
172,83.750000
173,92.500000
174,98.750000
175,100.000000
176,106.250000
177,112.500000
178,117.500000
179,117.500000
180,121.250000
181,123.750000
182,127.500000
183,127.500000
184,130.000000
185,132.500000
186,138.750000
187,136.250000
188,140.000000
189,138.750000
190,153.750000
191,142.500000
192,146.250000
193,148.750000
194,146.250000
195,143.750000
196,146.250000
197,148.750000
198,145.000000
199,141.250000
200,133.750000
201,138.750000
202,137.500000
203,135.000000
204,132.500000
205,133.750000
206,127.500000
207,126.250000
208,127.500000
209,123.750000
210,116.250000
211,123.750000
212,113.750000
213,120.000000
214,116.250000
215,111.250000
216,110.000000
217,101.250000
218,112.500000
219,98.750000
220,103.750000
221,102.500000
222,103.750000
223,100.000000
224,93.750000
225,88.750000
226,92.500000
227,88.750000
228,82.500000
229,86.250000
230,81.250000
231,70.000000
232,78.750000
233,76.250000
234,76.250000
235,62.500000
236,58.750000
237,60.000000
238,53.750000
239,65.000000
240,58.750000
241,51.250000
242,48.750000
243,47.500000
244,53.750000
245,41.250000
246,38.750000
247,43.750000
248,35.000000
249,36.250000
250,32.500000
251,36.250000
252,25.000000
253,28.750000
254,22.500000
255,18.750000
256,13.750000
257,11.250000
258,6.250000
259,3.750000
260,0.000000
261,1.250000
262,2.500000
263,-6.250000
264,3.750000
265,-3.750000
266,1.250000
267,-3.750000
268,-5.000000
269,-3.750000
270,-12.500000
271,-10.000000
272,-12.500000
273,-22.500000
274,-32.500000
275,-15.000000
276,-31.250000
277,-42.500000
278,-48.750000
279,-47.500000
280,-58.750000
281,-55.000000
282,-53.750000
283,-55.000000
284,-56.250000
285,-57.500000
286,-60.000000
287,-57.500000
288,-66.250000
289,-70.000000
290,-68.750000
291,-72.500000
292,-67.500000
293,-62.500000
294,-65.000000
295,-65.000000
296,-63.750000
297,-66.250000
298,-57.500000
299,-63.750000
300,-55.000000
301,-57.500000
302,-47.500000
303,-65.000000
304,-47.500000
305,-53.750000
306,-55.000000
307,-50.000000
308,-55.000000
309,-46.250000
310,-42.500000
311,-38.750000
312,-35.000000
313,-36.250000
314,-25.000000
315,-31.250000
316,-31.250000
317,-32.500000
318,-25.000000
319,-23.750000
320,-20.000000
321,-18.750000
322,-21.250000
323,-15.000000
324,-12.500000
325,-10.000000
326,-8.750000
327,-2.500000
328,-2.500000
329,2.500000
330,7.500000
331,11.250000
332,11.250000
333,12.500000
334,16.250000
335,26.250000
336,25.000000
337,26.250000
338,27.500000
339,30.000000
340,31.250000
341,36.250000
342,33.750000
343,40.000000
344,41.250000
345,42.500000
346,45.000000
347,53.750000
348,60.000000
349,46.250000
350,48.750000
351,57.500000
352,53.750000
353,58.750000
354,65.000000
355,71.250000
356,71.250000
357,75.000000
358,72.500000
359,77.500000
360,80.000000
361,81.250000
362,83.750000
363,85.000000
364,85.000000
365,88.750000
366,85.000000
367,87.500000
368,86.250000
369,91.250000
370,93.750000
371,100.000000
372,103.750000
373,111.250000
374,112.500000
375,120.000000
376,123.750000
377,128.750000
378,133.750000
379,132.500000
380,137.500000
381,141.250000
382,151.250000
383,140.000000
384,145.000000
385,148.750000
386,148.750000
387,148.750000
388,155.000000
389,156.250000
390,151.250000
391,158.750000
392,152.500000
393,160.000000
394,152.500000
395,160.000000
396,160.000000
397,148.750000
398,147.500000
399,141.250000
400,148.750000
401,150.000000
402,146.250000
403,145.000000
404,140.000000
405,147.500000
406,137.500000
407,137.500000
408,130.000000
409,136.250000
410,117.500000
411,126.250000
412,126.250000
413,121.250000
414,118.750000
415,120.000000
416,110.000000
417,110.000000
418,110.000000
419,106.250000
420,106.250000
421,102.500000
422,102.500000
423,103.750000
424,102.500000
425,92.500000
426,92.500000
427,90.000000
428,86.250000
429,87.500000
430,76.250000
431,76.250000
432,75.000000
433,68.750000
434,68.750000
435,70.000000
436,67.500000
437,67.500000
438,62.500000
439,62.500000
440,60.000000
441,48.750000
442,55.000000
443,52.500000
444,50.000000
445,42.500000
446,42.500000
447,40.000000
448,36.250000
449,45.000000
450,28.750000
451,31.250000
452,27.500000
453,27.500000
454,22.500000
455,27.500000
456,17.500000
457,16.250000
458,18.750000
459,12.500000
460,13.750000
461,7.500000
462,11.250000
463,1.250000
464,-2.500000
465,0.000000
466,2.500000
467,0.000000
468,-5.000000
469,7.500000
470,-6.250000
471,-10.000000
472,-8.750000
473,-17.500000
474,-21.250000
475,-27.500000
476,-27.500000
477,-32.500000
478,-41.250000
479,-48.750000
480,-47.500000
481,-47.500000
482,-55.000000
483,-56.250000
484,-56.250000
485,-57.500000
486,-58.750000
487,-60.000000
488,-60.000000
489,-62.500000
490,-66.250000
491,-66.250000
492,-71.250000
493,-68.750000
494,-60.000000
495,-66.250000
496,-61.250000
497,-63.750000
498,-68.750000
499,-57.500000
500,-58.750000
501,-60.000000
502,-53.750000
503,-55.000000
504,-51.250000
505,-46.250000
506,-53.750000
507,-51.250000
508,-48.750000
509,-45.000000
510,-42.500000
511,-36.250000
512,-36.250000
513,-40.000000
514,-36.250000
515,-35.000000
516,-31.250000
517,-33.750000
518,-32.500000
519,-27.500000
520,-31.250000
521,-22.500000
522,-28.750000
523,-25.000000
524,-21.250000
525,-17.500000
526,-8.750000
527,-10.000000
528,6.250000
529,-1.250000
530,11.250000
531,3.750000
532,7.500000
533,12.500000
534,17.500000
535,12.500000
536,18.750000
537,22.500000
538,21.250000
539,25.000000
540,28.750000
541,23.750000
542,28.750000
543,33.750000
544,36.250000
545,35.000000
546,38.750000
547,47.500000
548,42.500000
549,50.000000
550,51.250000
551,55.000000
552,51.250000
553,58.750000
554,61.250000
555,60.000000
556,66.250000
557,61.250000
558,70.000000
559,75.000000
560,76.250000
561,75.000000
562,77.500000
563,75.000000
564,81.250000
565,83.750000
566,90.000000
567,92.500000
568,91.250000
569,90.000000
570,93.750000
571,97.500000
572,116.250000
573,107.500000
574,116.250000
575,118.750000
576,120.000000
577,131.250000
578,132.500000
579,138.750000
580,137.500000
581,136.250000
582,142.500000
583,142.500000
584,146.250000
585,148.750000
586,148.750000
587,150.000000
588,143.750000
589,153.750000
590,158.750000
591,162.500000
592,157.500000
593,151.250000
594,157.500000
595,158.750000
596,151.250000
597,155.000000
598,148.750000
599,145.000000
600,142.500000
601,145.000000
602,146.250000
603,143.750000
604,141.250000
605,136.250000
606,140.000000
607,131.250000
608,131.250000
609,127.500000
610,126.250000
611,127.500000
612,122.500000
613,122.500000
614,112.500000
615,116.250000
616,113.750000
617,113.750000
618,116.250000
619,116.250000
620,110.000000
621,100.000000
